업소명,전화번호,도로명주소,지번주소,위도,경도,영업상태명,음식의유형,주된음식종류
유한회사구갑기회관,063 -212 -5766,전북특별자치도 전주시 덕진구 상리로 50 (팔복동2가),전북특별자치도 전주시 덕진구 팔복동2가 258-3 ,35.81603696,127.1099849,영업,한식,비빔밥
무궁화한정식,063 -271 -3307,"전북특별자치도 전주시 덕진구 권삼득로 436, 1층 (덕진동2가)",전북특별자치도 전주시 덕진구 덕진동2가 167-47 1층 ,35.81514387,127.1050153,영업,한식,한정식
일등병부대찌개, 063- 254-8885,전북특별자치도 전주시 덕진구 백제대로 676 (금암동),전북특별자치도 전주시 덕진구 금암동 1597-34 ,35.81970244,127.1035256,영업,한식,부대찌개
오동태마을아중본점,,전북특별자치도 전주시 덕진구 건산로 271 (우아동2가),전북특별자치도 전주시 덕진구 우아동2가 862-4 ,35.81736666,127.1167536,영업,한식,동태탕
바다꽃게탕본점, 063- 244-3188,전북특별자치도 전주시 덕진구 아중1길 13-1 (우아동2가),전북특별자치도 전주시 덕진구 우아동2가 911-3 ,35.79084554,127.1310075,영업,한식,꽃게탕
화심장어아중점,063 -245 -6592,전북특별자치도 전주시 덕진구 인교9길 21-14 (우아동1가),전북특별자치도 전주시 덕진구 우아동1가 1116-9 ,35.81581203,127.1247936,영업,한식,장어구이
주식회사한상바오와갈비, 063- 246-2110,"전북특별자치도 전주시 덕진구 아중로 211, 1층 (우아동2가)",전북특별자치도 전주시 덕진구 우아동2가 918-10 ,35.81488011,127.108338,영업,한식,돼지갈비
전주쭈꾸미신화, 063- 245-1720,전북특별자치도 전주시 덕진구 동가재미2길 16 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 839-8 ,35.81532191,127.1418514,영업,한식,쭈꾸미볶음
현대옥송천농수산시장점, 063- 276-0099,"전북특별자치도 전주시 덕진구 송천중앙로 233-20 (송천동2가, 외1필지)",전북특별자치도 전주시 덕진구 송천동2가 493 외1필지 ,35.81516997,127.1097511,영업,한식,콩나물국밥
약선흑염소전주동부대로점, 063- 254-5293,전북특별자치도 전주시 덕진구 초당길 11 (호성동1가),전북특별자치도 전주시 덕진구 호성동1가 564-1 ,35.81604056,127.1104718,영업,한식,흑염소탕
오동태마을송천점, 063- 251-1888,전북특별자치도 전주시 덕진구 붓내1길 5 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 529-5 ,35.78469853,127.128508,영업,한식,동태찌개
만석군, 063- 214-9778,전북특별자치도 전주시 덕진구 기린대로 718-3 (팔복동1가),전북특별자치도 전주시 덕진구 팔복동1가 304 ,35.83514957,127.120453,영업,한식,삼겹살
자금성, 063- 277-9965,전북특별자치도 전주시 덕진구 송천중앙로 222 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 485 ,35.80004958,127.0921292,영업,중식,자장면
오동태마을반월점,063 -214 -8292,전북특별자치도 전주시 덕진구 쪽구름로 109 (반월동),전북특별자치도 전주시 덕진구 반월동 243-5 ,35.8179126,127.1411375,영업,한식,동태찌개
만족왕족발보쌈,063 -276 -1151,전북특별자치도 전주시 덕진구 솔내1길 2-2 (송천동1가),전북특별자치도 전주시 덕진구 송천동1가 265-46 ,35.81564973,127.1136963,영업,한식,보쌈
고향생각, 063- 246-9797,전북특별자치도 전주시 덕진구 아중1길 5 (우아동2가),전북특별자치도 전주시 덕진구 우아동2가 909-5 ,35.8243791,127.1033735,영업,한식,백반정식
한가람,063 -251 -3535,전북특별자치도 전주시 덕진구 송천중앙로 51 (덕진동2가),전북특별자치도 전주시 덕진구 덕진동2가 2-2 ,35.82637994,127.1531541,영업,한식,갈비살구이
현대옥아중점,063 -284 -0099,전북특별자치도 전주시 덕진구 무삼지4길 14 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 915-8 ,35.8125949,127.1223944,영업,한식,콩나물국밥
참예우한우명품관,063 -240 -2853,전북특별자치도 전주시 덕진구 견훤로 515 (호성동1가),전북특별자치도 전주시 덕진구 호성동1가 750-7 외1필지 ,35.7896118,127.1053012,영업,한식,소고기구이
고려옥,063 -245 -5002,"전북특별자치도 전주시 덕진구 동부대로 429, 1층 (우아동2가)",전북특별자치도 전주시 덕진구 우아동2가 932-4 ,35.81602186,127.1055145,영업,한식,콩나물국밥
인생극장쪽갈비송천점,063 -278 -7766,전북특별자치도 전주시 덕진구 붓내3길 7 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 523-14 ,35.82038429,127.1043147,영업,한식,삼겹살
까르네,063 -276 -5116,"전북특별자치도 전주시 덕진구 두간2길 3-6, 1층 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 808-8 ,35.81659579,127.1435419,영업,한식,소고기구이류
자연순두부,063 -271 -0202,전북특별자치도 전주시 덕진구 초포다리로 54 (호성동1가),전북특별자치도 전주시 덕진구 호성동1가 664-14 ,35.81821298,127.1517246,영업,중식,짜장면
동창갈비본점,063 -255 -9090,전북특별자치도 전주시 덕진구 송천중앙로 201 (송천동1가),전북특별자치도 전주시 덕진구 송천동1가 812-2 ,35.81260762,127.1518395,영업,한식,돼지갈비
한가족한방족발,063 -253 -8588,전북특별자치도 전주시 덕진구 붓내3길 17-1 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 244-25 1층 ,35.82746352,127.1232161,영업,한식,족발
미르밀옥류관인후점,063 -246 -1656,"전북특별자치도 전주시 덕진구 백제대로 686, 101,102,103호 (인후동2가)",전북특별자치도 전주시 덕진구 인후동2가 1529-1 101.102.103 ,35.7945487,127.1049915,영업,한식,냉면
바다횟집,063 -274 -2001,"전북특별자치도 전주시 덕진구 붓내3길 6, 2층 201호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 523-11 201호,35.78289474,127.1135285,영업,일식,회
금암동태마을,063 -242 -5252,"전북특별자치도 전주시 덕진구 전주천동로 494 (금암동, 1층)",전북특별자치도 전주시 덕진구 금암동 761-2 1층 ,35.80855766,127.1163199,영업,한식,"동태찜, 동태탕"
짬뽕지존송천점,,전북특별자치도 전주시 덕진구 송천중앙로 215 (송천동1가),전북특별자치도 전주시 덕진구 송천동1가 809-2 ,35.80336076,127.1009871,영업,중식,짬뽕
건지산도토리,063 -255 -1415,"전북특별자치도 전주시 덕진구 동부대로 1051, 1층 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 159-17 외1필지 ,35.78970553,127.113099,영업,한식,도토리묵밥
한가람금암점,063 -253 -0988,"전북특별자치도 전주시 덕진구 기린대로 365, 1동 1층 (금암동)",전북특별자치도 전주시 덕진구 금암동 462-4 외1필지 1동 1층 ,35.81678544,127.1260334,영업,한식,돼지갈비
돔베초밥,063 -241 -5566,"전북특별자치도 전주시 덕진구 아중로 231, 1층 (우아동2가)",전북특별자치도 전주시 덕진구 우아동2가 933-8 1층 ,35.81872931,127.1047759,영업,일식,초밥
소통한우,063 -277 -8586,전북특별자치도 전주시 덕진구 세병2길 32-14 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 0 전주00부대이전부지도시개발사업 상업1-64 ,35.81945108,127.1220093,영업,한식,구이류
전북한우협동조합총체보리한우정육식당전주점,063 -253 -0200,"전북특별자치도 전주시 덕진구 숲거리길 20-12, 1,2층 (전미동1가)",전북특별자치도 전주시 덕진구 전미동1가 305-11 ,35.79183411,127.109635,영업,한식,고기
한솔본가,063 -213 -7878,"전북특별자치도 전주시 덕진구 덕용2길 41, 1층 (동산동)",전북특별자치도 전주시 덕진구 여의동2가 593 ,35.79474755,127.1359213,영업,한식,"고기류,탕"
진가진설렁탕,063 -251 -9207,전북특별자치도 전주시 덕진구 동부대로 1022 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 54-3 ,35.79184591,127.1100109,영업,한식,탕
참소박사,063 -214 -2088,"전북특별자치도 전주시 덕진구 쪽구름로 134-1, 1층 (반월동)",전북특별자치도 전주시 덕진구 반월동 401-5 ,35.81644695,127.1093607,영업,한식,고기류
모정산골냉면송천점,,"전북특별자치도 전주시 덕진구 동부대로 1098, 1층 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 299-2 ,35.81827614,127.1491787,영업,한식,냉면
정통중화요리백두산,,"전북특별자치도 전주시 덕진구 초포다리로 170, 1층 (호성동1가)",전북특별자치도 전주시 덕진구 호성동1가 362-30 ,35.7918154,127.1046791,영업,중식,간짜장
김형제고기의철학,,"전북특별자치도 전주시 덕진구 용소로 117, 1층 일부호 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 543-94 ,35.81738831,127.1234152,영업,한식,돼지고기
황금코다리송천점,,"전북특별자치도 전주시 덕진구 동부대로 962, 1층 일부호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 38-2 ,35.81770358,127.1485098,영업,한식,코다리찜
샤브쌈주머니전주에코시티점,,"전북특별자치도 전주시 덕진구 세병2길 16, 2층 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 1330-4 한서빌딩 ,35.81463558,127.1179679,영업,한식,샤브샤브
미트랑전주본점,,"전북특별자치도 전주시 덕진구 백제대로 653, 1,2층 (금암동)",전북특별자치도 전주시 덕진구 금암동 1591-14 신토불이 ,35.81813546,127.1245247,영업,한식,소곡기구이
아중천민물장어한우,063 -246 -9699,"전북특별자치도 전주시 덕진구 아중천1길 24, 1층 (산정동)",전북특별자치도 전주시 덕진구 산정동 884-6 ,35.81599278,127.1487494,영업,한식,장어구이
스시아시타송천,,"전북특별자치도 전주시 덕진구 송천중앙로 249, 2동 1층 전체호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 492-1 ,35.81635575,127.1542121,영업,일식,초밥
현대옥전주송천에코시티점,,"전북특별자치도 전주시 덕진구 세병1길 32, 1층 108,109호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 1327-4 ,35.78599886,127.1115694,영업,한식,콩나물국밥
조선기와,,"전북특별자치도 전주시 덕진구 사거리길 62, 1층 (호성동1가)",전북특별자치도 전주시 덕진구 호성동1가 419 ,35.81772472,127.117646,영업,한식,"갈비살, 꽃등심"
육일식당송천직영점,,"전북특별자치도 전주시 덕진구 동부대로 962, 1층 일부호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 38-2 ,35.81483934,127.1487838,영업,한식,감자탕
오네뜰,,"전북특별자치도 전주시 덕진구 진기길 27, 1층 전체호 (전미동2가)",전북특별자치도 전주시 덕진구 전미동2가 1591-1 ,35.79201223,127.1093453,영업,한식,능이백숙
채선당한가득전주송천점,,"전북특별자치도 전주시 덕진구 동부대로 962, 2층 일부호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 38-2 ,35.77986547,127.106096,영업,한식,샤브샤브
전주성갈비,,"전북특별자치도 전주시 덕진구 솔내로 180, 1층 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 209-2 ,35.81994549,127.1046959,영업,한식,돼지갈비
유성식당순대국밥송천에코본점,,"전북특별자치도 전주시 덕진구 동부대로 1162, 1층 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 443-1 ,35.83708883,127.1071823,영업,한식,순대국밥
전주아중리맛집백운면,,"전북특별자치도 전주시 덕진구 견훤로 198, 1층 (인후동1가)",전북특별자치도 전주시 덕진구 인후동1가 865-17 ,35.82682026,127.1427793,영업,한식,국수
큰가마,063-286-6003,전북특별자치도 전주시 완산구 노송광장로 46 (서노송동),전북특별자치도 전주시 완산구 서노송동 568-106 ,35.82520626,127.146493,영업,한식,갈비탕
킹스대게(도청점),063-224-6998,"전북특별자치도 전주시 완산구 홍산남로 71, 2층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1539-1 ,35.81598133,127.1097753,영업,양식,"킹크랩,랍스타"
태조밥상,063-288-4004,전북특별자치도 전주시 완산구 경기전길 122 (교동),전북특별자치도 전주시 완산구 교동 268 ,35.81390834,127.1509626,영업,한식,"비빔밥, 떡갈비"
팔도명가,063-255-5001,전북특별자치도 전주시 완산구 서신천변1길 25 (서신동),전북특별자치도 전주시 완산구 서신동 842-16 ,35.82705605,127.1131159,영업,한식,참게장
풀꽃세상채식뷔페,063-221-4432,전북특별자치도 전주시 완산구 우림로 1036-13 (중인동),전북특별자치도 전주시 완산구 중인동 55-1 ,35.77924583,127.1064016,영업,뷔페식,채식뷔페
풍남문한우촌,063-288-6020,전북특별자치도 전주시 완산구 팔달로 119-4 (전동),전북특별자치도 전주시 완산구 전동 187-6 ,35.81318756,127.1484473,영업,한식,"소고기, 갈비탕"
풍남정,063-285-7782,전북특별자치도 전주시 완산구 태조로 52 (전동),전북특별자치도 전주시 완산구 전동 71-1 ,35.81396693,127.1490476,영업,한식,비빔밥
풍전콩나물국밥,063-231-0730,"전북특별자치도 전주시 완산구 동문길 73, 1층 (경원동2가)",전북특별자치도 전주시 완산구 경원동2가 26-3 외1필지 ,35.81831789,127.1499861,영업,한식,콩나물국밥
프리모파스타,063-225-6688,"전북특별자치도 전주시 완산구 홍산3길 7, 2층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1527-7 ,35.81832209,127.1081999,영업,경양식,"파스타,피자"
프리미엄쌈가,063-224-2040,"전북특별자치도 전주시 완산구 우림로 1054, 1층 (중인동)",전북특별자치도 전주시 완산구 중인동 60 ,35.78064439,127.1066072,영업,한식,쌈밥
하늘천숯불갈비전주혁신점,063-237-0292,전북특별자치도 전주시 완산구 콩쥐팥쥐로 1599 (상림동),전북특별자치도 전주시 완산구 상림동 85 ,35.8255309,127.0745415,영업,한식,삼겹살구이
한국집,063-284-2224,전북특별자치도 전주시 완산구 어진길 119 (전동),전북특별자치도 전주시 완산구 전동 2-1 ,35.81652985,127.1482235,영업,한식,비빔밥
한상바오와갈비 신시가지점,063-227-0707,"전북특별자치도 전주시 완산구 효자로 173, 1층 101호~104호 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1699-5 ,35.8193568,127.1043152,영업,한식,"갈비구이, 냉면"
한상바오와갈비평화본점,063-225-0933,전북특별자치도 전주시 완산구 장승배기로 224 (평화동1가),전북특별자치도 전주시 완산구 평화동1가 712-3 ,35.79680202,127.137105,영업,한식,갈비
한양불고기,063-228-8011,"전북특별자치도 전주시 완산구 우전2길 6, 1층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 220-12 ,35.80507358,127.1083036,영업,한식,불고기
할매집곰탕,063-236-0022,"전북특별자치도 전주시 완산구 선너머로 4, 1층 (중화산동2가)",전북특별자치도 전주시 완산구 중화산동2가 186-3 ,35.81631068,127.1251976,영업,한식,곰탕
형제골뼈다귀순대국,063-225-8880,"전북특별자치도 전주시 완산구 장승배기로 154, 존슨썬팅 1층 (평화동2가)",전북특별자치도 전주시 완산구 평화동2가 842-9 존슨썬팅 ,35.79458642,127.1298163,영업,한식,순대국밥
호림이네,063-285-4007,전북특별자치도 전주시 완산구 춘향로 5152 (색장동),전북특별자치도 전주시 완산구 색장동 429 ,35.79851522,127.1837525,영업,한식,한정식
호순이감자탕,063-221-2489,,전북특별자치도 전주시 완산구 삼천동1가 284-1 ,35.79850689,127.1100474,영업,한식,감자탕
화심순두부 전주점,063-231-6500,"전북특별자치도 전주시 완산구 서원로 339, 지하1층~1층일부층 (중화산동1가)",전북특별자치도 전주시 완산구 중화산동1가 321-10 화심순두부 ,35.81302868,127.1312532,영업,한식,순두부찌개
효자해물칼국수,,"전북특별자치도 전주시 완산구 쑥고개로 185-12, 주건축물제1동 1층 (삼천동3가)",전북특별자치도 전주시 완산구 삼천동3가 296-1 ,35.79740834,127.0861186,영업,한식,"바지락칼국수,해물칼국수"
흑두부이야기,063-273-2332,전북특별자치도 전주시 완산구 서곡2길 30-19 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1470-1 ,35.83303268,127.1035087,영업,한식,"흑두부보쌈, 전골"
건지산도토리,063-255-1415,"전북특별자치도 전주시 덕진구 동부대로 1051, 1층 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 159-17 외1필지 ,35.86929397,127.1320246,영업,한식,도토리묵밥
겐돈소바,063-246-2585,전북특별자치도 전주시 덕진구 동가재미3길 50 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 850-1 ,35.83477859,127.1658382,영업,일식,소바
고궁,063-251-3211,전북특별자치도 전주시 덕진구 송천중앙로 33 (덕진동2가),전북특별자치도 전주시 덕진구 덕진동2가 168-9 ,35.85010368,127.1194136,영업,한식,전주비빔밥
고려옥,063-245-5002,"전북특별자치도 전주시 덕진구 동부대로 429, 1층 (우아동2가)",전북특별자치도 전주시 덕진구 우아동2가 932-4 ,35.83030739,127.1748942,영업,한식,콩나물국밥
고향생각,063-246-9797,전북특별자치도 전주시 덕진구 아중1길 5 (우아동2가),전북특별자치도 전주시 덕진구 우아동2가 909-5 ,35.8284637,127.1702316,영업,한식,백반정식
금암동태마을,063-242-5252,"전북특별자치도 전주시 덕진구 전주천동로 494 (금암동, 1층)",전북특별자치도 전주시 덕진구 금암동 761-2 1층 ,35.83625948,127.1305576,영업,한식,"동태찜, 동태탕"
김판쇠전주우족탕,,"전북특별자치도 전주시 덕진구 태진로 132, 1층 전체호 (금암동)",전북특별자치도 전주시 덕진구 금암동 455-23 ,35.83276336,127.1356982,영업,한식,
김형제고기의철학,,"전북특별자치도 전주시 덕진구 용소로 117, 1층 일부호 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 543-94 ,35.86381659,127.1211999,영업,한식,돼지고기
까르네,063-276-5116,"전북특별자치도 전주시 덕진구 두간2길 3-6, 1층 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 808-8 ,35.86584065,127.1206682,영업,한식,소고기구이류
남원요천추어탕,063-244-5161,전북특별자치도 전주시 덕진구 백제대로 695 (인후동2가),전북특별자치도 전주시 덕진구 인후동2가 1530-22 ,35.84489033,127.1451423,영업,한식,추어탕
늘채움,063-272-5737,"전북특별자치도 전주시 덕진구 덕진연못3길 6, 1층 (덕진동2가)",전북특별자치도 전주시 덕진구 덕진동2가 200-5 ,35.84656148,127.1206372,영업,한식,생선구이
담돌순대,,"전북특별자치도 전주시 덕진구 온고을로 510, 1층 전체호 (여의동)",전북특별자치도 전주시 덕진구 여의동 871-4 ,35.85395646,127.0743336,영업,한식,순대국밥
대게나라아중점,063-241-2333,전북특별자치도 전주시 덕진구 아중로 139 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 916-1 ,35.82599368,127.164956,영업,한식,대게찜
덕진헌,063-253-0333,"전북특별자치도 전주시 덕진구 창포길 49-10, 1층 (덕진동1가)",전북특별자치도 전주시 덕진구 덕진동1가 1316-16 ,35.85072097,127.1224845,영업,한식,
도래지,063-241-3993,전북특별자치도 전주시 덕진구 백제대로 810 (우아동3가),전북특별자치도 전주시 덕진구 우아동3가 748-25 ,35.84771495,127.1571456,영업,한식,복어탕
돔베초밥,063-241-5566,"전북특별자치도 전주시 덕진구 아중로 231, 1층 (우아동2가)",전북특별자치도 전주시 덕진구 우아동2가 933-8 1층 ,35.82910349,127.1741429,영업,일식,초밥
동창갈비본점,063-255-9090,전북특별자치도 전주시 덕진구 송천중앙로 201 (송천동1가),전북특별자치도 전주시 덕진구 송천동1가 812-2 ,35.86494378,127.1212761,영업,한식,돼지갈비
만석군,063-214-9778,전북특별자치도 전주시 덕진구 기린대로 718-3 (팔복동1가),전북특별자치도 전주시 덕진구 팔복동1가 304 ,35.85507322,127.1039917,영업,한식,삼겹살
만족왕족발보쌈,063-276-1151,전북특별자치도 전주시 덕진구 솔내1길 2-2 (송천동1가),전북특별자치도 전주시 덕진구 송천동1가 265-46 ,35.85157542,127.1210026,영업,한식,보쌈
명륜진사갈비인후안골점,063-245-1177,"전북특별자치도 전주시 덕진구 안덕원로 235-1, 1층 (인후동1가)",전북특별자치도 전주시 덕진구 인후동1가 769-14 ,35.83668815,127.152757,영업,한식,돼지갈비
모정산골냉면송천점,,"전북특별자치도 전주시 덕진구 동부대로 1098, 1층 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 299-2 ,35.87011426,127.1270548,영업,한식,냉면
무궁화한정식,063-271-3307,"전북특별자치도 전주시 덕진구 권삼득로 436, 1층 (덕진동2가)",전북특별자치도 전주시 덕진구 덕진동2가 167-47 1층 ,35.8500601,127.1171557,영업,한식,한정식
무안낙지,063-247-3661,전북특별자치도 전주시 덕진구 동부대로 811 (호성동1가),전북특별자치도 전주시 덕진구 호성동1가 785-1 ,35.85966877,127.1536423,영업,한식,연포탕
무진장순두부,063-255-3500,"전북특별자치도 전주시 덕진구 조경단로 92 (금암동, 1동 102호일부, 103호)","전북특별자치도 전주시 덕진구 금암동 1587-7 외2필지 1동 102호일부, 103호 ",35.84233556,127.1395132,영업,한식,순두부찌게
미르밀옥류관인후점,063-246-1656,"전북특별자치도 전주시 덕진구 백제대로 686, 101,102,103호 (인후동2가)",전북특별자치도 전주시 덕진구 인후동2가 1529-1 101.102.103 ,35.84377551,127.1442687,영업,한식,냉면
미트랑전주본점,,"전북특별자치도 전주시 덕진구 백제대로 653, 1,2층 (금암동)",전북특별자치도 전주시 덕진구 금암동 1591-14 신토불이 ,35.84347911,127.1406189,영업,한식,
바다꽃게탕본점,063-244-3188,전북특별자치도 전주시 덕진구 아중1길 13-1 (우아동2가),전북특별자치도 전주시 덕진구 우아동2가 911-3 ,35.82885642,127.1709801,영업,한식,꽃게탕
바다횟집,063-274-2001,"전북특별자치도 전주시 덕진구 붓내3길 6, 2층 201호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 523-11 201호,35.86650889,127.1220782,영업,일식,회
백자원,063-246-1405,전북특별자치도 전주시 덕진구 백제대로 702 (인후동2가),전북특별자치도 전주시 덕진구 인후동2가 1529-9 ,35.84423886,127.1460571,영업,중식,짜장면
부산갈매기송천점,063-278-7766,전북특별자치도 전주시 덕진구 붓내3길 7 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 523-14 ,35.86688854,127.122229,영업,한식,삼겹살
샤브50,063 254-5293,전북특별자치도 전주시 덕진구 초당길 11 (호성동1가),전북특별자치도 전주시 덕진구 호성동1가 564-1 ,35.86623994,127.1498963,영업,한식,오리코스요리
샤브쌈주머니전주에코시티점,,"전북특별자치도 전주시 덕진구 세병2길 16, 2층 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 1330-4 한서빌딩 ,35.87283447,127.1255743,영업,한식,샤브샤브
소통한우,063-277-8586,전북특별자치도 전주시 덕진구 세병2길 32-14 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 0 전주00부대이전부지도시개발사업 상업1-64 ,35.87036398,127.1217368,영업,한식,구이류
스시아시타송천,,"전북특별자치도 전주시 덕진구 송천중앙로 249, 2동 1층 전체호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 492-1 ,35.86930162,127.1206633,영업,일식,
아리랑하우스,063-241-9301,전북특별자치도 전주시 덕진구 한배미1길 29 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 939-7 ,35.82359981,127.1654791,영업,한식,소고기전골
아중도토리묵촌,063-244-1233,전북특별자치도 전주시 덕진구 동부대로 381 (우아동1가),전북특별자치도 전주시 덕진구 우아동1가 1123-11 ,35.82636491,127.1769824,영업,한식,도토리묵도가니
아중천민물장어한우,063-246-9699,"전북특별자치도 전주시 덕진구 아중천1길 24, 1층 (산정동)",전북특별자치도 전주시 덕진구 산정동 884-6 ,35.83482137,127.1720361,영업,한식,
오네뜰,,"전북특별자치도 전주시 덕진구 진기길 27, 1층 전체호 (전미동2가)",전북특별자치도 전주시 덕진구 전미동2가 1591-1 ,35.88791996,127.0935988,영업,한식,능이백숙
오동태마을반월점,063-214-8292,전북특별자치도 전주시 덕진구 쪽구름로 109 (반월동),전북특별자치도 전주시 덕진구 반월동 243-5 ,35.87375967,127.0733728,영업,한식,동태찌개
오동태마을송천점,063-251-1888,전북특별자치도 전주시 덕진구 붓내1길 5 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 529-5 ,35.86451798,127.1222109,영업,한식,동태찌개
오동태마을아중본점,,전북특별자치도 전주시 덕진구 건산로 271 (우아동2가),전북특별자치도 전주시 덕진구 우아동2가 862-4 ,35.8357392,127.1665919,영업,한식,동태탕
