대행업소명,도로명주소,지번주소,위도,경도,소재지전화번호,데이터기준일자
푸른하늘동물병원,전북특별자치도 전주시 완산구 모악로 4704,전북특별자치도 전주시 완산구 평화동2가 299-1,35.78919679,127.1315229,063-222-4119,2026-02-07
프렌즈동물병원,전북특별자치도 전주시 완산구 거마평로 86,전북특별자치도 전주시 완산구 삼천동1가 592-1,35.80002105,127.117062,063-227-4975,2026-02-07
하나동물병원,전북특별자치도 전주시 덕진구 송천중앙로 17,전북특별자치도 전주시 덕진구 덕진동2가 167-156,35.84885442,127.1185593,063-253-5677,2026-02-07
하루동물병원,전북특별자치도 전주시 완산구 모악로 4692,전북특별자치도 전주시 완산구 평화동2가 302-3,35.78830843,127.1309312,063-232-5900,2026-02-07
하트동물병원,전북특별자치도 전주시 덕진구 두간1길 5,전북특별자치도 전주시 덕진구 송천동1가 812-3,35.86482527,127.1212834,063-276-7675,2026-02-07
행복한동물병원,전북특별자치도 전주시 덕진구 건산로 243,전북특별자치도 전주시 덕진구 인후동1가 806-6,35.83482251,127.163605,063-244-0090,2026-02-07
효자동물병원,전북특별자치도 전주시 완산구 백제대로 121,전북특별자치도 전주시 완산구 효자동1가 563-8,35.80379054,127.1237583,063-224-6672,2026-02-07
힐링동물병원,전북특별자치도 전주시 덕진구 송천중앙로 177,전북특별자치도 전주시 덕진구 송천동1가 486-16,35.86279147,127.1213142,063-272-8575,2026-02-07
효천동물병원,전북특별자치도 전주시 완산구 천잠로 52 1층,전북특별자치도 전주시 삼천동2가 763-5,35.79437103,127.1063904,063-222-7975,2026-02-07
나음동물메디컬센터,전북특별자치도 전주시 완산구 서원로 294,전북특별자치도 전주시 중화산동2가 535-4,35.81160165,127.1264817,063-228-5311,2026-02-07
센트럴동물병원,전북특별자치도 전주시 완산구 거마평로 236,전북특별자치도 전주시 효자동3가 37-47,35.81311596,127.1138531,063-903-1199,2026-02-07
다올동물병원,전북특별자치도 전주시 완산구 용머리로 132 1층,전북특별자치도 전주시 완산구 효자동1가 181-4,35.80558366,127.1247469,063-717-0102,2026-02-07
온동물병원,전북특별자치도 전주시 완산구 유연로 158 1층,전북특별자치도 전주시 완산구 효자동3가 1627-4,35.82489209,127.1029657,063-909-8275,2026-02-07
숲속동물병원,전북특별자치도 전주시 완산구 공북로 64 1층,전북특별자치도 전주시 완산구 태평동 22-11,35.82575769,127.1388646,063-255-7275,2026-02-07
포레스트동물병원,전북특별자치도 전주시 덕진구 동부대로 1139 2층,전북특별자치도 전주시 덕진구 송천동2가 453-20,35.86951932,127.1223902,063-247-8875,2026-02-07
삼정동물병원,전북특별자치도 전주시 덕진구 가재미로 34,전북특별자치도 전주시 인후동1가 894-6,35.82786384,127.1629783,063-717-7155,2026-02-07
바른동물병원,전북특별자치도 전주시 덕진구 동부대로 841 105호,전북특별자치도 전주시 덕진구 호성동1가 587-22,35.86172576,127.1516032,063-241-7275,2026-02-07
