연번,식당명,도로명주소,지번주소,식당위도,식당경도,식당대표전화번호,영업신고증업태명,영업인허가명,식당상태
19,아줌마갈비,전북특별자치도 전주시 덕진구 가리내로 18 (금암동),전북특별자치도 전주시 덕진구 금암동 460-15 ,35.83459873,127.1339848,063-242-5667,한식,일반음식점,운영중
20,풍경촌,전북특별자치도 전주시 덕진구 덕진연못3길 9 (덕진동2가),전북특별자치도 전주시 덕진구 덕진동2가 189-24 1층 ,35.84685856,127.1205897,063-277-0566,한식,일반음식점,운영중
21,삼일식당,전북특별자치도 전주시 덕진구 신행로 65 (팔복동2가),전북특별자치도 전주시 덕진구 팔복동2가 417-12 ,35.85082804,127.0931569,063-211-6415,한식,일반음식점,운영중
22,명가하림각,전북특별자치도 전주시 덕진구 건지2길 11 (금암동),전북특별자치도 전주시 덕진구 금암동 1592-11 ,35.84429434,127.1411857,063-274-0490,중국식,일반음식점,운영중
23,능원,전북특별자치도 전주시 덕진구 건지산로 39-4 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 88-30 ,35.85415088,127.1356215,063-274-4388,한식,일반음식점,운영중
24,시민회관,전북특별자치도 전주시 덕진구 모래내6길 5-2 (인후동2가),전북특별자치도 전주시 덕진구 인후동2가 226-19 ,35.83425905,127.1457322,,한식,일반음식점,운영중
25,대우집,전북특별자치도 전주시 덕진구 원산정길 6 (산정동),전북특별자치도 전주시 덕진구 산정동 741-1 ,35.84156997,127.1717115,063-285-7619,한식,일반음식점,운영중
26,터미널가정회관,전북특별자치도 전주시 덕진구 가리내로 41 (금암동),전북특별자치도 전주시 덕진구 금암동 706-5 ,35.8339055,127.1315905,063-277-1153,한식,일반음식점,운영중
27,낙지야낙지야고기사랑,전북특별자치도 전주시 덕진구 기린대로 400-27 (금암동),전북특별자치도 전주시 덕진구 금암동 720-31 ,35.83830188,127.132561,063-251-0086,식육(숯불구이),일반음식점,운영중
28,서로,전북특별자치도 전주시 덕진구 백동5길 9 (인후동2가),전북특별자치도 전주시 덕진구 인후동2가 1559-89 ,35.84679234,127.1502696,070-8600-1179,한식,일반음식점,운영중
29,원일옥,전북특별자치도 전주시 덕진구 태진로 79 (진북동),전북특별자치도 전주시 덕진구 진북동 417-68 ,35.82835029,127.1361665,063-274-8617,한식,일반음식점,운영중
30,우리만두,전북특별자치도 전주시 덕진구 전주천동로 475 (금암동),전북특별자치도 전주시 덕진구 금암동 760-9 ,35.83561629,127.1288601,063-252-9794,분식,일반음식점,운영중
31,금암돈짜글이,전북특별자치도 전주시 덕진구 건지3길 7 (금암동),전북특별자치도 전주시 덕진구 금암동 1595-8 ,35.84467565,127.1441041,063-252-8592,한식,일반음식점,운영중
32,벽계가든,전북특별자치도 전주시 덕진구 백제대로 524 (금암동),전북특별자치도 전주시 덕진구 금암동 790-5 ,35.83820657,127.1281012,063-273-1833,한식,일반음식점,운영중
33,다래옥,전북특별자치도 전주시 덕진구 백제대로 777-2 (우아동3가),전북특별자치도 전주시 덕진구 우아동3가 732-9 ,35.84743752,127.1535728,063-245-2935,한식,일반음식점,운영중
34,동네불막창앤닭발,전북특별자치도 전주시 덕진구 덕진광장로 10 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1277-1 ,35.84419501,127.124892,063-272-6087,한식,일반음식점,운영중
35,현대옥덕진광장점,전북특별자치도 전주시 덕진구 덕진광장로 1-11 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1279-5 ,35.84450424,127.1240362,063-275-3155,한식,일반음식점,운영중
36,유명식당,전북특별자치도 전주시 덕진구 가리내로 30 (금암동),전북특별자치도 전주시 덕진구 금암동 460-11 ,35.83442383,127.1334776,063-272-0158,한식,일반음식점,운영중
37,한국관,전북특별자치도 전주시 덕진구 기린대로 425 (금암동),전북특별자치도 전주시 덕진구 금암동 712-3 712-8번지 ,35.83908241,127.1295639,063-272-9229,한식,일반음식점,운영중
38,북경루,전북특별자치도 전주시 덕진구 전주천동로 477 (금암동),전북특별자치도 전주시 덕진구 금암동 760-15 ,35.8357254,127.1289917,063-254-0159,중국식,일반음식점,운영중
39,순간포차,전북특별자치도 전주시 덕진구 명주5길 9-1 (인후동2가),전북특별자치도 전주시 덕진구 인후동2가 1574-21 ,35.84546085,127.1506159,063-246-2252,정종/대포집/소주방,일반음식점,운영중
40,뉴맥스양념통닭,전북특별자치도 전주시 덕진구 호반8길 11 (덕진동2가),전북특별자치도 전주시 덕진구 덕진동2가 16-3 ,35.85167306,127.1158758,063-252-3015,통닭(치킨),일반음식점,운영중
41,치쿠린,전북특별자치도 전주시 덕진구 명륜3길 9-1 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1266-6 지하1층 ,35.84233434,127.1268274,063-274-2996,호프/통닭,일반음식점,운영중
42,한국식당,전북특별자치도 전주시 덕진구 기린대로 945 (팔복동2가),전북특별자치도 전주시 덕진구 팔복동2가 797-5 ,35.86447632,127.081608,063-213-5619,한식,일반음식점,운영중
43,더블리,전북특별자치도 전주시 덕진구 명륜4길 25 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 664-18 ,35.84405867,127.1272181,063-254-3090,한식,일반음식점,운영중
44,옛날땡땡이상추튀김,전북특별자치도 전주시 덕진구 권삼득로 313 (금암동),전북특별자치도 전주시 덕진구 금암동 664-39 ,35.84369278,127.1277203,063-273-0903,분식,일반음식점,운영중
45,한국회관,전북특별자치도 전주시 덕진구 혁신로 442 (장동),전북특별자치도 전주시 덕진구 장동 607-6 ,35.85258907,127.0665001,063-212-7567,분식,일반음식점,운영중
46,엄마손맛집,"전북특별자치도 전주시 덕진구 기린대로 410-1 (금암동, 1층일부)",전북특별자치도 전주시 덕진구 금암동 710-26 1층일부 ,35.83863645,127.1314615,063-277-5597,한식,일반음식점,운영중
47,평양면옥,전북특별자치도 전주시 덕진구 솔내8길 10-3 (송천동1가),전북특별자치도 전주시 덕진구 송천동1가 484-8 ,35.86068018,127.1224524,063-254-5888,한식,일반음식점,운영중
48,삼정회관,전북특별자치도 전주시 덕진구 노송여울2길 154 (진북동),전북특별자치도 전주시 덕진구 진북동 360-3 ,35.8285653,127.1410229,063-277-6615,한식,일반음식점,운영중
49,79대포전북대점,전북특별자치도 전주시 덕진구 명륜5길 16-1 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1314-159 ,35.8439602,127.126068,063-276-9206,한식,일반음식점,운영중
50,호남문가든전주비빔밥,전북특별자치도 전주시 덕진구 기린대로 971 (여의동),전북특별자치도 전주시 덕진구 여의동 565-1 ,35.86542074,127.078995,063-211-8822,한식,일반음식점,운영중
51,태랑,전북특별자치도 전주시 덕진구 명륜4길 11-8 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1261-34 ,35.84325812,127.1261974,,기타,일반음식점,운영중
52,신뜰안에밥상,전북특별자치도 전주시 덕진구 전주천동로 502 (금암동),전북특별자치도 전주시 덕진구 금암동 473-3 ,35.83675166,127.131316,063-278-1457,한식,일반음식점,운영중
53,이자카야토라전북대점,전북특별자치도 전주시 덕진구 명륜3길 15 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1263-23 ,35.84266497,127.1276762,,호프/통닭,일반음식점,운영중
54,페리카나,"전북특별자치도 전주시 덕진구 조경단로 42-1, 1층 일부호 (금암동)",전북특별자치도 전주시 덕진구 금암동 526-37 ,35.83805299,127.138065,,통닭(치킨),일반음식점,운영중
55,아이비586,전북특별자치도 전주시 덕진구 백제대로 586 (금암동),전북특별자치도 전주시 덕진구 금암동 728-141 ,35.84064613,127.1339303,063-277-0586,한식,일반음식점,운영중
56,정주분식,전북특별자치도 전주시 덕진구 권삼득로 247-3 (금암동),전북특별자치도 전주시 덕진구 금암동 728-185 ,35.83923996,127.1326615,063-272-6235,분식,일반음식점,운영중
57,가나영양돌솥,전북특별자치도 전주시 덕진구 매봉5길 13-2 (금암동),전북특별자치도 전주시 덕진구 금암동 1599-13 ,35.84192406,127.1424732,063-253-9837,한식,일반음식점,운영중
58,현집,전북특별자치도 전주시 덕진구 물왕멀로 73 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 170-21 ,35.82962104,127.15136,,한식,일반음식점,운영중
59,착한밥상,전북특별자치도 전주시 덕진구 진버들3길 4-3 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 804-6 ,35.8347466,127.162529,063-244-2212,한식,일반음식점,운영중
60,청담,전북특별자치도 전주시 덕진구 우아3길 13 (우아동3가),전북특별자치도 전주시 덕진구 우아동3가 747-48 ,35.84872219,127.1555408,,기타,일반음식점,운영중
61,초해식당,전북특별자치도 전주시 덕진구 태진로 72 (진북동),전북특별자치도 전주시 덕진구 진북동 892-2 ,35.82734551,127.1368193,,한식,일반음식점,운영중
62,모두랑떡볶이,전북특별자치도 전주시 덕진구 명륜4길 21-6 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1312-6 ,35.84419717,127.1264307,063-276-5025,분식,일반음식점,운영중
63,참맛분식,전북특별자치도 전주시 덕진구 명륜4길 21-4 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1312-58 ,35.84412604,127.1265643,063-278-2149,분식,일반음식점,운영중
64,금암우족탕,전북특별자치도 전주시 덕진구 태진로 136 (금암동),전북특별자치도 전주시 덕진구 금암동 455-25 455-24 ,35.8330425,127.1356619,063-252-8052,한식,일반음식점,운영중
65,춘향식당,"전북특별자치도 전주시 덕진구 상리2길 57-1, 1층 (팔복동2가)",전북특별자치도 전주시 덕진구 팔복동2가 364-1 ,35.85116696,127.0998841,063-252-9697,한식,일반음식점,운영중
66,진안회관,"전북특별자치도 전주시 덕진구 견훤왕궁로 276, 1층 (인후동2가)",전북특별자치도 전주시 덕진구 인후동2가 1528-7 ,35.84258878,127.144691,063-255-7111,한식,일반음식점,운영중
67,현혹,전북특별자치도 전주시 덕진구 명륜4길 11-1 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1262-8 ,35.84296996,127.1262338,063-277-4053,정종/대포집/소주방,일반음식점,운영중
68,금암피순대,전북특별자치도 전주시 덕진구 기린대로 400-59 (금암동),전북특별자치도 전주시 덕진구 금암동 729-3 1층 ,35.83844847,127.1328915,063-272-1394,한식,일반음식점,운영중
69,금암시골양념통닭,전북특별자치도 전주시 덕진구 백제대로 639 (금암동),전북특별자치도 전주시 덕진구 금암동 1589-1 ,35.84301916,127.1393176,063-254-1562,통닭(치킨),일반음식점,운영중
70,일공공샤브,전북특별자치도 전주시 덕진구 송천중앙로 94-1 (송천동1가),전북특별자치도 전주시 덕진구 송천동1가 374-2 ,35.85561994,127.1206813,063-271-2114,한식,일반음식점,운영중
71,멧돌순두부,전북특별자치도 전주시 덕진구 백동5길 18 (인후동2가),전북특별자치도 전주시 덕진구 인후동2가 1570-3 ,35.84755824,127.1502393,063-242-6478,한식,일반음식점,운영중
72,순창장군목다슬기탕,전북특별자치도 전주시 덕진구 명주6길 14-23 (인후동2가),전북특별자치도 전주시 덕진구 인후동2가 1576-6 ,35.84489978,127.1515739,063-242-6661,한식,일반음식점,운영중
73,해술콩나물국밥,전북특별자치도 전주시 덕진구 동부대로 733 (우아동3가),전북특별자치도 전주시 덕진구 우아동3가 743-46 ,35.85366027,127.1579574,063-243-1107,한식,일반음식점,운영중
74,게릴라,전북특별자치도 전주시 덕진구 우아1길 1 (우아동3가),전북특별자치도 전주시 덕진구 우아동3가 747-56 1층 ,35.8486225,127.1567485,,기타,일반음식점,운영중
75,디핌,"전북특별자치도 전주시 덕진구 명륜3길 9-1 (덕진동1가, 1층)",전북특별자치도 전주시 덕진구 덕진동1가 1266-6 1층 ,35.84233434,127.1268274,063-252-4822,까페,일반음식점,운영중
76,시골촌,전북특별자치도 전주시 덕진구 송천중앙로 12-1 (덕진동2가),전북특별자치도 전주시 덕진구 덕진동2가 192-4 ,35.84806114,127.1186502,063-273-0484,분식,일반음식점,운영중
77,북전주식당,전북특별자치도 전주시 덕진구 기린대로 915 (팔복동2가),전북특별자치도 전주시 덕진구 팔복동2가 623-1 ,35.86319157,127.0845127,063-211-7639,한식,일반음식점,운영중
78,만성가든,,전북특별자치도 전주시 덕진구 만성동 194-16 ,35.84083658,127.0806182,063-212-5889,한식,일반음식점,운영중
79,네커피,전북특별자치도 전주시 덕진구 삼송5길 14-18 (금암동),전북특별자치도 전주시 덕진구 금암동 1546-5 ,35.84352336,127.1379838,063-231-1506,기타,일반음식점,운영중
80,북대가자,전북특별자치도 전주시 덕진구 기린대로 400-65 (금암동),전북특별자치도 전주시 덕진구 금암동 729-14 1층 ,35.83841401,127.1331132,063-276-3331,기타,일반음식점,운영중
81,농수산회관,전북특별자치도 전주시 덕진구 동부대로 1183 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 506-1 ,35.86727088,127.1178178,063-253-6180,한식,일반음식점,운영중
82,다래정식당,전북특별자치도 전주시 덕진구 도당산로 67 (우아동3가),전북특별자치도 전주시 덕진구 우아동3가 748-26 ,35.84758956,127.1572576,063-242-0957,한식,일반음식점,운영중
83,양평해장국본점,전북특별자치도 전주시 덕진구 어은로 116 (진북동),전북특별자치도 전주시 덕진구 진북동 991-2 ,35.82316572,127.1296267,063-271-0836,한식,일반음식점,운영중
84,우성정,전북특별자치도 전주시 덕진구 벚꽃4길 3-4 (진북동),전북특별자치도 전주시 덕진구 진북동 1022-19 ,35.82823309,127.1349061,063-272-8888,한식,일반음식점,운영중
85,정성국수,전북특별자치도 전주시 덕진구 명륜4길 21-7 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1314-161 ,35.84403415,127.1263217,063-253-3383,한식,일반음식점,운영중
86,동원추어탕,전북특별자치도 전주시 덕진구 기린대로 703 (팔복동2가),전북특별자치도 전주시 덕진구 팔복동2가 250-17 ,35.85349192,127.1046627,063-211-4408,분식,일반음식점,운영중
87,피스비,전북특별자치도 전주시 덕진구 권삼득로 319-1 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 664-34 ,35.84400291,127.1269863,,기타,일반음식점,운영중
88,수정,전북특별자치도 전주시 덕진구 가리내로 22-8 (금암동),전북특별자치도 전주시 덕진구 금암동 460-18 ,35.83487581,127.1336608,063-253-1157,호프/통닭,일반음식점,운영중
89,명품수작,전북특별자치도 전주시 덕진구 명륜4길 17-7 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1261-19 ,35.84369047,127.1261595,063-277-6963,호프/통닭,일반음식점,운영중
90,김밥천국터미널점,"전북특별자치도 전주시 덕진구 가리내로 38, 1층 일부호 (금암동)",전북특별자치도 전주시 덕진구 금암동 705-7 1층 일부 ,35.83425052,127.1319409,063-252-6151,분식,일반음식점,운영중
91,톰스톤,전북특별자치도 전주시 덕진구 명륜4길 9 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1262-23 ,35.84280774,127.1262355,063-272-7943,호프/통닭,일반음식점,운영중
92,안골진미집금암점,전북특별자치도 전주시 덕진구 권삼득로 238 (금암동),전북특별자치도 전주시 덕진구 금암동 728-28 ,35.83891408,127.1337166,063-251-9338,정종/대포집/소주방,일반음식점,운영중
93,금암소바,"전북특별자치도 전주시 덕진구 기린대로 400-75, 1층 (금암동)",전북특별자치도 전주시 덕진구 금암동 729-6 ,35.8385496,127.1331671,063-278-0945,분식,일반음식점,운영중
94,군산아구탕,전북특별자치도 전주시 덕진구 조경단로 100 (금암동),전북특별자치도 전주시 덕진구 금암동 1589-5 ,35.84323356,127.1390496,063-251-3439,탕류(보신용),일반음식점,운영중
95,조기종의향미각,전북특별자치도 전주시 덕진구 건지3길 13-1 (금암동),전북특별자치도 전주시 덕진구 금암동 1596-7 ,35.84523174,127.1437217,,중국식,일반음식점,운영중
96,가고파,"전북특별자치도 전주시 덕진구 붓내2길 17-1, 상가동 1층 1호 (송천동2가, 태화송림타워)",전북특별자치도 전주시 덕진구 송천동2가 193 상가동 1호,35.86548506,127.1238168,063-253-7588,정종/대포집/소주방,일반음식점,운영중
97,장터해장국,전북특별자치도 전주시 덕진구 송천중앙로 233-4 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 492-21 ,35.86789578,127.1206899,,한식,일반음식점,운영중
98,장충동왕족발보쌈,"전북특별자치도 전주시 덕진구 백제대로 563, A동 110,112호 (금암동)","전북특별자치도 전주시 덕진구 금암동 668-3 110,112호 A동 ",35.84092384,127.1311931,,한식,일반음식점,운영중
99,도래지,전북특별자치도 전주시 덕진구 백제대로 810 (우아동3가),전북특별자치도 전주시 덕진구 우아동3가 748-25 ,35.84771495,127.1571456,063-241-3993,한식,일반음식점,운영중
100,해이루,전북특별자치도 전주시 덕진구 명륜5길 9 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1277-14 ,35.84371132,127.1253069,063-272-1829,한식,일반음식점,운영중
101,비에이치씨전북대점,전북특별자치도 전주시 덕진구 명륜5길 20-1 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1312-42 ,35.84428625,127.1262858,063-278-1214,분식,일반음식점,운영중
102,하랑,"전북특별자치도 전주시 덕진구 명륜4길 21-5, 1층 일부호 (덕진동1가)",전북특별자치도 전주시 덕진구 덕진동1가 1314-164 ,35.843954,127.1264555,063-255-8338,한식,일반음식점,운영중
103,서호관,전북특별자치도 전주시 덕진구 기린대로 400-11 (금암동),전북특별자치도 전주시 덕진구 금암동 471-3 1~2층 ,35.83845134,127.1320391,063-252-0505,한식,일반음식점,운영중
104,우든,"전북특별자치도 전주시 덕진구 명륜4길 11-3, 1층 (덕진동1가)",전북특별자치도 전주시 덕진구 덕진동1가 1262-31 1층 ,35.84301446,127.1261558,063-251-0997,호프/통닭,일반음식점,운영중
105,천하장사,전북특별자치도 전주시 덕진구 온고을로 546-1 (여의동),전북특별자치도 전주시 덕진구 여의동 1263-32 ,35.8555154,127.0707837,063-211-0061,한식,일반음식점,운영중
106,삼부회관,전북특별자치도 전주시 덕진구 건지로 10-23 (금암동),전북특별자치도 전주시 덕진구 금암동 1596-33 ,35.84487986,127.1436702,063-241-9638,한식,일반음식점,운영중
107,피르다브스전북대점,전북특별자치도 전주시 덕진구 백제대로 608 (금암동),전북특별자치도 전주시 덕진구 금암동 1552-1 1층 ,35.8413918,127.1361029,063-252-5533,한식,일반음식점,운영중
108,황제돼지갈비,전북특별자치도 전주시 덕진구 떡전로 5-1 (금암동),전북특별자치도 전주시 덕진구 금암동 794-9 ,35.83563756,127.1280629,063-274-9442,식육(숯불구이),일반음식점,운영중
109,황토우렁촌,전북특별자치도 전주시 덕진구 팔달로 310-3 (진북동),전북특별자치도 전주시 덕진구 진북동 359-5 ,35.82927127,127.1414359,063-253-1323,한식,일반음식점,운영중
110,명품짬뽕,전북특별자치도 전주시 덕진구 송천중앙로 234 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 468-5 ,35.86793951,127.1217413,063-251-0588,일식,일반음식점,운영중
111,맥시칸송천점,전북특별자치도 전주시 덕진구 송천중앙로 129 (송천동1가),전북특별자치도 전주시 덕진구 송천동1가 474-37 ,35.85864921,127.1208029,063-253-0788,통닭(치킨),일반음식점,운영중
112,소희네분식,전북특별자치도 전주시 덕진구 모래내6길 5-4 (인후동2가),전북특별자치도 전주시 덕진구 인후동2가 235-1 ,35.8341241,127.1457668,063-274-1862,분식,일반음식점,운영중
113,하이트하우스,전북특별자치도 전주시 덕진구 팽나무4길 11-4 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 781-2 ,35.83555843,127.1548831,063-246-6170,호프/통닭,일반음식점,운영중
114,명동소바인후점,전북특별자치도 전주시 덕진구 명주5길 9-3 (인후동2가),전북특별자치도 전주시 덕진구 인후동2가 1574-22 ,35.84548004,127.1507817,063-243-8956,한식,일반음식점,운영중
115,전주칼국수,전북특별자치도 전주시 덕진구 태진로 122-6 (진북동),전북특별자치도 전주시 덕진구 진북동 407-11 ,35.83185707,127.1362614,063-274-2002,한식,일반음식점,운영중
116,전주깍두기,전북특별자치도 전주시 덕진구 떡전4길 21-1 (금암동),전북특별자치도 전주시 덕진구 금암동 752-17 ,35.83751681,127.1299351,,복어취급,일반음식점,운영중
117,콩각시굴신랑,전북특별자치도 전주시 덕진구 숲정이5길 11 (진북동),전북특별자치도 전주시 덕진구 진북동 434-33 ,35.83206975,127.1344993,063-278-1378,한식,일반음식점,운영중
118,해브어굿테이블,전북특별자치도 전주시 덕진구 명륜3길 18-8 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1264-11 ,35.8422911,127.1283223,,호프/통닭,일반음식점,운영중
119,신정담,전북특별자치도 전주시 덕진구 권삼득로 385 (덕진동2가),전북특별자치도 전주시 덕진구 덕진동2가 189-25 ,35.8467258,127.1209232,063-277-1441,한식,일반음식점,운영중
120,만선회센타,전북특별자치도 전주시 덕진구 명륜3길 4 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1265-45 ,35.84191301,127.127142,063-272-4336,일식,일반음식점,운영중
121,행복한식탁,전북특별자치도 전주시 덕진구 기린대로 522-2 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1280-4 ,35.84530132,127.1221013,063-277-2266,한식,일반음식점,운영중
122,새벽식탁,전북특별자치도 전주시 덕진구 명륜4길 21-4 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1312-58 ,35.84412604,127.1265643,,한식,일반음식점,운영중
123,청년다방전북대점,전북특별자치도 전주시 덕진구 명륜3길 19 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1314-176 ,35.84295529,127.1279387,063-275-6519,식육(숯불구이),일반음식점,운영중
124,면식당전북대점,전북특별자치도 전주시 덕진구 명륜4길 21-3 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1314-165 ,35.84387393,127.1266002,063-251-1289,분식,일반음식점,운영중
125,희망회관,전북특별자치도 전주시 덕진구 가리내로 40 (금암동),전북특별자치도 전주시 덕진구 금암동 705-6 ,35.83423082,127.1317087,063-253-1504,한식,일반음식점,운영중
126,쿱,전북특별자치도 전주시 덕진구 명륜4길 17-25 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1261-17 2층 ,35.84377046,127.1260036,063-274-9303,한식,일반음식점,운영중
127,주선,전북특별자치도 전주시 덕진구 명륜4길 17-25 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1261-17 1층 ,35.84377046,127.1260036,063-251-9180,호프/통닭,일반음식점,운영중
128,주기,전북특별자치도 전주시 덕진구 명륜4길 11-1 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1262-8 ,35.84296996,127.1262338,063-276-1325,호프/통닭,일반음식점,운영중
129,카페프로바이더2층,"전북특별자치도 전주시 덕진구 명륜3길 13-1, 2층 (덕진동1가)",전북특별자치도 전주시 덕진구 덕진동1가 1263-22 2층 ,35.84260116,127.1275772,063-254-5937,호프/통닭,일반음식점,운영중
130,맛깔,전북특별자치도 전주시 덕진구 쪽구름로 7 (여의동),전북특별자치도 전주시 덕진구 여의동 662-5 ,35.86652134,127.0791262,063-212-1996,한식,일반음식점,운영중
131,금북시장,전북특별자치도 전주시 덕진구 명륜4길 18-7 (금암동),전북특별자치도 전주시 덕진구 금암동 1312-46 1층 ,35.84325181,127.1278137,063-277-1649,호프/통닭,일반음식점,운영중
132,온고을장례식장,전북특별자치도 전주시 덕진구 온고을로 438-2 (만성동),전북특별자치도 전주시 덕진구 만성동 362-1 ,35.85163338,127.0816894,063-211-5000,한식,일반음식점,운영중
133,참치일번가,전북특별자치도 전주시 덕진구 기린대로 400-29 (금암동),전북특별자치도 전주시 덕진구 금암동 720-32 ,35.83818559,127.132684,063-275-4936,횟집,일반음식점,운영중
134,벅스빌,전북특별자치도 전주시 덕진구 전주천동로 482-1 (금암동),전북특별자치도 전주시 덕진구 금암동 762-17 ,35.83562245,127.1297123,063-275-5395,경양식,일반음식점,운영중
135,솔뫼마을,전북특별자치도 전주시 덕진구 매봉로 49 (금암동),전북특별자치도 전주시 덕진구 금암동 1587-102 ,35.84217975,127.1404115,063-275-8661,한식,일반음식점,운영중
